Band1,Band2,Band3,Band4,Band5,Band6
75,56,43,93,54,28
76,56,44,91,56,30
75,56,46,89,56,32
75,57,46,88,55,31
77,56,46,89,58,32
74,57,44,96,55,28
74,54,45,94,58,30
76,57,47,87,58,33
79,61,53,87,74,46
78,59,50,103,71,40
75,56,44,102,59,32
72,55,43,99,55,28
73,55,39,99,54,28
73,54,41,100,54,26
72,53,40,100,53,27
71,54,42,102,54,26
74,55,38,103,54,26
73,53,41,101,53,27
73,55,41,105,57,29
72,55,41,108,61,30
72,56,42,110,63,30
74,55,42,110,65,32
76,57,45,104,69,37
79,64,52,95,80,50
80,66,52,96,78,50
79,65,48,99,68,37
79,65,53,87,72,44
79,64,50,85,75,45
77,61,45,99,72,39
76,62,46,101,72,38
76,63,48,98,70,40
77,62,48,103,70,40
78,64,50,105,74,40
79,61,54,87,78,54
76,58,46,98,67,42
73,52,40,108,53,26
75,54,43,106,58,30
76,57,46,110,69,37
81,63,58,95,77,48
82,65,58,84,97,74
76,58,47,101,72,44
72,54,42,108,55,26
72,53,41,107,53,27
73,54,42,107,53,25
75,58,46,101,62,36
80,64,50,113,83,46
78,61,47,99,79,40
73,55,42,60,38,22
77,58,48,61,49,30
80,62,53,76,76,43
82,64,58,69,86,62
81,62,59,58,90,72
81,63,59,59,94,75
83,66,61,58,96,78
84,66,65,60,95,82
83,66,61,72,92,70
80,61,53,90,83,52
81,63,56,74,89,62
78,60,49,93,81,45
76,57,45,106,71,36
74,57,44,108,63,32
75,59,45,106,62,29
75,60,48,103,63,32
76,61,47,102,63,33
74,58,45,104,62,31
74,57,44,110,63,30
73,57,42,112,62,31
73,57,42,117,63,32
76,55,41,114,62,30
74,56,44,115,60,29
73,57,43,116,64,33
75,56,41,113,62,29
75,57,46,111,64,33
76,59,46,114,65,36
74,53,43,113,54,26
74,56,44,111,53,28
74,54,43,112,54,25
74,56,42,110,54,29
74,54,44,111,59,29
78,61,50,99,70,42
82,63,56,84,75,52
82,63,55,75,67,48
80,62,55,74,62,45
79,62,54,73,61,43
80,61,55,71,61,44
80,61,53,70,61,45
80,60,53,72,60,42
78,60,51,74,56,38
79,60,50,75,58,39
80,60,53,71,62,44
81,60,55,71,62,44
79,60,51,77,63,41
77,59,48,77,61,39
77,57,48,71,59,39
79,57,49,70,54,36
78,58,49,73,54,35
79,60,51,75,56,38
84,63,57,72,69,53
82,64,58,76,74,50
78,61,51,88,70,36
76,60,49,93,71,37
78,63,52,106,81,45
79,64,51,99,77,43
78,65,46,107,68,34
75,64,45,115,67,33
78,63,44,113,67,31
78,62,46,111,65,31
77,63,44,111,67,34
76,63,46,108,66,34
79,64,45,108,69,35
78,63,45,104,68,35
77,64,47,105,68,37
76,63,49,105,70,34
80,64,48,107,68,36
79,66,49,108,68,35
78,65,49,104,68,35
78,66,49,104,69,36
79,65,50,106,68,35
78,67,48,111,69,34
80,64,50,98,73,40
83,66,59,90,94,63
77,62,48,111,88,45
76,61,45,120,86,39
78,60,47,119,87,39
78,60,45,123,88,40
77,61,45,121,88,41
77,62,45,119,88,41
78,62,49,111,86,41
80,63,53,100,85,47
90,73,77,58,104,86
93,75,81,56,109,91
91,75,82,57,111,89
94,76,84,58,113,93
94,77,84,58,110,94
94,78,86,59,116,98
96,81,89,61,120,102
91,75,76,64,102,83
78,61,53,92,72,42
75,56,43,116,66,34
74,56,43,116,60,30
74,57,40,120,63,31
73,54,41,120,59,29
73,55,42,119,59,30
74,55,41,117,60,30
74,55,43,119,61,30
73,54,42,118,58,29
76,55,41,118,60,29
72,54,42,119,59,30
76,54,41,120,60,31
74,54,43,117,58,27
71,55,42,116,58,32
75,58,42,109,72,38
77,60,52,89,84,52
81,62,51,79,84,53
78,59,50,82,84,52
78,63,54,78,86,56
82,64,59,70,90,64
83,65,57,69,88,63
81,62,54,75,83,56
79,62,51,75,82,56
79,61,51,74,84,53
79,61,50,73,82,57
80,63,52,74,83,55
78,62,52,72,86,58
80,62,50,73,83,60
78,63,51,83,77,49
79,63,45,103,71,37
78,64,46,110,69,33
79,65,47,109,70,32
77,63,47,112,71,33
80,66,49,114,74,34
79,66,49,106,74,38
80,66,51,98,76,45
80,67,51,105,73,40
80,66,51,107,75,40
80,64,50,101,80,45
75,58,45,106,70,38
72,55,41,110,55,25
73,52,41,110,54,26
73,53,41,110,56,26
75,54,41,112,56,31
75,54,41,109,56,28
73,54,40,109,55,25
72,54,39,110,54,28
72,54,40,113,55,28
75,55,41,115,59,30
74,57,45,107,65,36
76,57,46,102,66,41
76,56,45,105,63,35
75,55,42,119,60,27
75,55,42,123,58,26
75,55,40,124,57,27
73,54,43,119,57,27
74,56,44,113,62,29
77,59,47,109,73,39
79,60,50,105,81,42
77,61,49,105,79,42
74,53,45,108,63,32
73,56,41,106,59,29
74,57,44,100,60,29
74,55,44,100,61,31
76,59,50,98,68,37
75,62,49,96,71,40
80,61,52,102,73,39
74,58,44,109,64,34
74,57,44,106,67,33
74,56,42,102,67,34
74,57,43,101,68,32
77,57,46,100,68,38
76,61,47,95,73,39
77,60,53,87,79,50
79,63,54,86,78,45
78,61,52,85,83,50
78,61,52,72,94,66
79,60,57,55,93,75
80,59,56,47,98,83
78,57,55,45,98,84
78,55,49,53,83,68
75,56,47,85,73,42
76,57,47,94,67,38
75,59,49,92,69,35
74,59,48,88,70,39
75,59,48,95,72,38
75,58,45,104,68,36
76,57,45,100,60,32
74,57,45,96,56,28
74,56,44,97,56,28
74,55,45,98,57,28
74,55,44,99,56,29
75,57,45,97,57,28
74,57,45,95,61,32
77,57,50,51,89,70
77,55,50,38,93,79
78,54,47,36,90,76
78,54,48,36,87,74
77,52,45,36,87,73
76,52,46,36,87,72
75,54,47,36,87,73
77,52,45,37,84,73
75,52,45,42,83,65
76,57,49,73,84,56
76,59,46,98,71,41
73,56,43,106,60,31
74,55,41,110,62,29
73,56,41,110,62,30
77,58,51,89,92,53
79,59,48,78,91,59
80,61,50,85,93,59
78,62,47,84,90,56
78,62,52,84,93,59
81,61,50,88,92,57
77,62,45,96,91,51
79,62,46,95,92,54
79,61,47,88,92,56
78,59,50,85,93,56
78,59,46,86,90,54
77,60,44,89,91,51
78,60,47,86,93,55
77,61,48,83,93,58
79,59,45,76,88,56
79,59,48,75,86,61
77,60,48,89,78,46
76,62,45,101,69,35
76,63,44,104,65,30
74,64,44,102,66,34
75,63,44,104,70,36
76,63,44,107,72,36
76,63,45,105,71,36
78,63,45,100,71,36
75,65,47,97,74,37
77,63,46,90,78,42
79,59,46,86,86,50
77,58,44,83,88,50
75,57,44,70,86,52
74,57,44,70,86,52
77,58,43,74,85,51
75,57,42,72,83,48
74,56,41,65,79,49
76,54,43,61,76,48
72,53,41,53,72,48
73,52,41,49,72,46
74,52,42,56,79,58
74,54,42,57,81,59
76,53,45,54,84,63
78,60,50,100,70,39
73,56,42,102,56,30
75,54,41,106,58,28
76,58,48,106,67,38
74,55,45,100,60,35
72,54,42,95,53,27
76,54,44,94,57,31
77,58,49,88,72,45
75,56,50,89,65,38
80,62,55,74,83,60
79,62,56,63,90,66
82,63,60,60,90,72
82,64,60,59,92,70
82,63,59,59,89,70
83,62,59,59,87,68
81,65,64,68,94,69
82,68,71,88,102,63
80,63,61,88,85,50
80,62,55,84,77,48
79,62,55,92,73,43
76,60,47,91,62,36
75,57,44,88,56,29
76,55,45,93,56,30
75,56,45,91,55,30
76,55,45,89,56,30
75,57,47,88,56,32
75,56,46,92,57,29
76,55,45,95,57,30
75,57,43,94,57,29
76,56,45,92,56,31
77,56,46,91,56,31
74,58,49,86,62,35
75,59,50,92,69,38
77,57,47,103,66,36
75,57,43,102,57,28
72,55,41,99,53,27
72,54,44,100,55,27
73,54,41,100,54,24
74,53,40,101,55,28
72,54,40,102,53,25
72,53,39,105,56,27
73,55,42,110,62,32
73,55,40,106,62,31
73,55,42,110,63,30
76,55,41,111,65,30
73,56,43,106,62,30
77,59,47,102,69,37
79,64,52,93,79,49
80,65,54,87,78,50
79,63,51,88,73,45
77,62,48,93,72,41
76,62,46,100,71,38
77,62,46,97,72,39
76,63,49,96,72,41
77,63,50,97,74,43
79,62,52,92,78,48
78,59,50,93,70,45
74,54,42,106,53,28
71,51,39,111,53,25
73,53,40,109,56,26
76,55,41,106,60,30
78,61,53,98,80,46
84,66,59,83,96,71
78,62,48,107,92,52
74,57,43,115,69,33
72,53,40,109,56,29
76,55,44,100,60,30
79,62,49,99,79,44
78,64,49,109,77,43
75,55,42,57,43,25
75,57,46,57,41,25
81,64,56,78,76,46
82,62,57,68,88,60
83,63,61,58,91,77
85,65,63,59,95,78
84,66,61,61,96,76
82,64,59,60,96,76
84,65,63,58,95,78
84,64,60,57,93,75
83,62,58,60,93,72
84,64,59,57,91,74
81,63,56,61,87,69
82,61,54,74,85,58
78,59,51,91,75,48
76,59,47,102,66,34
76,61,47,101,61,31
75,63,47,99,62,33
75,61,47,100,62,30
75,59,47,103,60,30
75,58,44,107,60,30
76,57,46,112,61,30
75,56,42,114,62,30
73,57,43,115,62,31
75,56,43,115,61,30
73,56,43,114,62,30
75,59,46,110,66,34
75,58,45,116,63,32
73,53,42,116,55,25
75,56,42,110,53,27
74,55,45,107,57,27
78,59,47,104,65,35
82,62,55,93,72,46
81,65,57,77,74,53
81,61,57,74,64,48
79,61,54,74,61,46
80,61,53,74,60,41
79,62,55,73,61,45
80,60,54,72,61,44
80,60,52,71,60,46
80,60,50,73,58,41
79,59,50,75,55,37
78,59,51,75,55,38
80,62,54,71,60,43
78,60,49,77,59,38
78,60,47,78,61,38
79,59,48,72,58,38
78,57,50,69,53,34
77,58,48,72,53,35
79,59,50,74,55,37
80,60,52,74,57,40
82,63,58,72,69,53
81,63,59,73,73,51
77,60,51,84,71,37
75,60,50,85,71,38
77,62,46,98,71,39
79,63,51,104,80,44
78,64,50,101,72,43
78,63,46,107,67,34
78,62,44,109,67,33
77,62,45,109,65,32
77,63,46,108,67,32
76,62,45,106,68,34
78,64,45,106,69,34
78,64,46,106,68,35
78,64,47,105,68,35
78,64,48,104,68,33
81,63,47,102,68,34
79,67,50,102,70,37
78,64,49,108,69,35
79,66,48,110,70,38
77,67,47,112,70,34
78,65,47,113,71,33
80,66,50,106,74,38
85,69,57,88,88,59
80,64,51,104,91,50
75,60,47,119,87,40
78,61,46,120,87,41
77,62,48,113,87,44
76,61,47,108,88,44
84,65,56,93,89,48
83,68,64,81,97,66
92,75,75,66,100,77
92,74,82,57,111,91
91,75,82,56,113,92
90,74,81,57,110,89
93,74,81,55,109,88
93,72,79,53,104,88
93,78,84,57,112,100
96,81,91,62,122,111
94,75,82,55,110,97
85,67,68,66,88,66
78,59,49,99,69,36
75,55,42,116,62,30
73,55,41,118,61,30
73,54,41,119,60,29
74,53,41,120,61,30
74,54,43,121,61,30
73,55,42,118,61,30
74,54,42,118,62,29
75,54,42,116,61,29
72,54,42,114,58,30
74,54,42,119,60,28
74,54,42,119,57,29
71,54,42,115,58,29
75,55,44,114,63,30
77,57,48,105,77,46
78,61,50,87,84,57
77,61,50,82,83,53
79,61,50,81,84,53
80,62,55,75,87,59
82,63,55,74,87,58
78,61,50,79,82,52
78,61,50,78,82,53
80,60,50,75,82,56
78,61,47,77,81,52
79,60,51,74,84,54
80,63,53,73,84,58
81,61,49,72,84,59
80,62,52,71,82,56
78,63,49,85,74,43
78,65,47,105,69,36
78,65,46,107,68,35
77,62,47,109,70,35
81,67,47,106,73,36
79,67,49,109,74,37
80,66,50,102,73,40
79,66,52,101,74,41
79,66,49,110,72,35
79,66,48,109,73,39
80,63,49,101,78,45
74,55,45,105,65,33
74,52,41,109,54,28
74,54,42,109,54,28
74,54,41,110,55,26
73,54,41,111,56,26
73,53,41,113,56,27
72,54,40,114,54,27
74,54,40,116,55,28
74,53,41,119,58,27
72,54,41,117,59,30
75,55,43,113,62,31
76,57,48,99,66,40
75,56,46,110,67,34
75,57,43,123,66,31
76,58,44,120,66,31
76,57,46,116,72,37
79,61,48,108,80,44
79,61,50,101,81,46
75,58,46,105,71,37
72,56,43,111,63,31
73,54,44,111,61,30
74,55,42,107,60,29
73,56,43,100,59,29
75,56,46,97,59,30
76,56,45,98,60,31
76,58,46,97,60,34
80,62,52,97,74,43
77,61,52,104,74,38
75,57,44,105,68,33
75,57,46,98,69,36
75,59,46,96,70,37
77,60,50,92,72,40
76,61,52,90,74,39
77,62,54,86,78,48
80,65,61,75,89,56
81,64,64,59,101,78
84,65,65,52,109,92
85,66,68,51,108,94
85,65,66,49,116,105
84,64,59,47,109,97
79,55,51,45,94,81
76,55,48,60,81,60
76,57,45,88,70,38
79,57,50,89,69,37
75,60,50,87,71,38
74,59,49,92,69,38
73,57,48,101,69,34
75,58,44,104,64,32
72,57,45,98,57,29
74,56,45,97,57,31
75,56,44,98,55,29
76,55,45,96,55,30
75,59,48,88,63,32
76,58,48,73,76,50
75,52,48,36,91,77
78,55,48,37,92,80
78,53,46,37,88,74
78,52,46,37,86,76
78,53,48,37,87,73
76,53,47,37,87,73
76,53,47,37,89,74
77,52,46,36,86,76
77,51,43,37,82,71
76,52,47,46,81,65
77,58,48,78,85,53
75,58,45,101,72,36
77,56,45,106,65,31
74,57,45,103,76,40
78,60,49,82,92,59
79,60,50,85,92,59
79,62,49,90,94,56
78,62,48,87,92,56
78,61,47,92,93,52
81,65,51,91,96,56
81,63,49,91,93,54
79,62,47,97,91,50
77,58,46,89,94,55
78,59,48,81,90,55
77,59,45,80,89,56
77,58,46,87,89,53
79,61,46,92,89,52
78,60,47,87,90,52
79,59,45,76,88,56
75,62,47,95,77,43
76,63,45,106,68,33
73,63,44,104,64,32
77,63,45,103,65,33
74,63,44,104,71,34
79,62,46,107,71,36
75,62,47,102,72,37
76,63,45,99,70,36
78,64,47,95,69,38
76,61,47,91,80,44
76,58,45,86,88,51
77,58,44,83,89,51
76,58,44,76,89,50
75,57,44,69,88,52
76,57,42,78,84,48
74,57,41,72,84,52
75,55,41,66,84,55
74,55,43,59,82,54
75,54,43,55,79,54
76,52,40,53,76,52
74,53,41,55,74,46
75,54,42,58,76,49
76,53,43,50,80,59
75,52,44,43,81,70
79,63,53,96,81,48
78,59,49,104,73,44
77,57,48,108,69,37
75,56,45,103,63,37
72,53,41,97,50,25
76,53,40,96,54,28
75,55,44,96,53,29
73,53,43,96,56,28
75,54,42,96,55,26
76,55,46,92,66,41
79,59,52,78,81,56
82,61,59,65,88,68
82,62,60,60,91,71
86,64,61,60,88,70
84,64,65,63,92,71
86,75,81,76,112,74
94,84,105,86,132,81
92,79,88,90,114,71
81,68,65,91,87,55
80,63,54,93,72,41
76,58,48,90,59,34
75,56,44,92,56,29
76,55,45,94,56,27
75,57,45,90,54,29
77,57,46,86,57,31
75,57,44,91,57,32
74,55,44,99,57,27
73,55,45,98,56,30
73,55,45,97,57,32
75,56,45,96,56,31
74,56,44,99,56,28
76,56,43,98,56,29
74,57,46,92,58,31
75,58,48,94,63,35
76,59,47,102,73,41
73,56,44,102,62,31
73,52,40,99,54,28
72,54,41,101,55,27
73,54,40,101,54,26
74,55,41,105,55,26
72,55,41,110,61,29
73,55,41,110,63,31
74,55,40,109,62,30
74,55,42,110,62,31
74,55,41,110,65,31
73,56,42,108,63,29
72,55,41,104,63,31
74,59,48,101,73,42
81,62,56,89,82,54
79,63,50,93,73,42
75,61,48,102,69,36
76,62,49,99,71,40
77,62,47,96,71,38
77,63,48,94,76,45
77,64,53,89,81,50
79,60,51,92,75,45
76,56,46,102,62,32
73,53,42,108,52,23
73,53,42,108,55,27
73,55,41,106,58,27
74,55,40,104,55,26
74,55,44,107,58,28
78,58,47,112,73,37
78,62,46,110,89,47
80,63,53,93,90,50
76,60,46,100,64,35
79,63,52,106,85,46
79,64,48,101,72,40
73,58,42,70,46,26
75,56,44,51,43,23
81,65,54,76,73,42
81,65,57,74,89,61
82,63,58,59,92,76
82,64,59,59,92,76
79,61,56,61,92,73
82,62,56,60,90,73
81,61,58,60,91,72
84,65,63,61,96,73
83,65,62,59,95,78
83,63,61,58,92,74
83,63,58,57,89,71
81,61,55,56,86,69
81,62,55,55,89,71
82,62,57,62,90,69
80,61,54,79,87,57
79,59,49,96,77,46
76,59,47,104,68,34
74,60,45,105,64,30
75,59,46,103,62,34
74,57,44,106,60,28
76,57,43,109,61,30
75,58,43,109,61,29
75,58,43,111,62,30
76,57,45,110,62,31
75,59,46,107,62,30
77,60,47,109,67,34
73,57,45,115,59,31
72,53,44,115,55,27
74,54,42,115,54,26
75,57,46,109,62,32
80,62,54,90,71,45
83,62,55,73,68,49
81,60,56,71,63,46
80,61,55,72,61,45
80,62,55,74,63,44
78,60,52,75,62,44
82,62,56,73,62,47
80,60,52,72,63,43
80,61,53,72,61,44
79,59,52,74,57,40
78,60,50,73,57,39
79,59,51,72,56,40
78,59,49,73,57,38
77,57,48,80,59,35
78,60,47,71,56,35
77,58,47,68,53,35
79,56,46,69,48,30
78,57,50,71,55,41
81,61,55,73,59,42
81,61,56,74,62,46
82,63,57,72,69,49
85,65,61,70,74,58
79,60,53,84,71,40
75,60,50,85,71,38
78,60,51,84,65,34
76,62,50,91,76,36
78,62,50,94,80,47
78,63,51,92,78,46
78,63,49,98,71,42
78,63,46,105,65,32
78,63,46,106,68,35
76,63,48,102,66,34
77,62,47,103,67,35
78,63,46,103,67,35
78,64,46,103,66,33
77,64,47,105,67,32
78,64,47,106,68,35
78,66,47,106,69,37
77,65,47,110,68,34
79,65,48,112,69,35
79,65,48,111,71,34
79,66,48,113,71,32
80,66,49,107,73,37
82,66,56,91,85,53
82,64,59,92,94,58
77,63,52,104,88,44
80,66,55,101,88,47
86,68,58,87,95,63
87,71,71,68,98,69
91,71,75,61,104,86
93,75,82,57,109,87
91,74,82,58,111,92
91,74,79,54,111,90
92,74,81,54,110,95
92,75,80,53,111,96
96,75,80,53,108,92
93,74,80,52,106,93
96,80,86,57,115,103
99,81,91,60,125,113
90,74,79,55,110,96
91,73,78,57,107,91
84,67,64,76,87,63
74,59,49,110,66,34
74,55,44,119,63,30
75,54,42,121,62,28
75,54,42,121,61,31
74,55,42,120,61,29
74,55,43,114,59,27
74,54,41,117,59,28
75,55,43,120,61,29
72,54,43,117,59,30
74,54,42,116,59,29
75,55,41,117,59,30
74,54,43,117,59,29
74,55,42,116,59,29
75,55,43,113,61,32
77,59,47,98,76,45
79,61,51,82,87,59
80,61,52,80,84,57
80,62,52,80,86,56
79,62,52,79,85,56
79,61,49,79,83,54
78,61,46,79,80,53
80,61,49,77,82,54
79,62,50,75,83,54
80,62,51,73,82,55
82,62,52,70,82,58
80,61,52,70,82,56
79,63,53,72,83,56
77,62,50,73,81,54
79,63,52,87,74,44
76,65,47,104,69,35
78,64,48,108,69,34
79,66,49,105,72,35
79,66,47,105,73,37
80,66,51,102,74,37
80,67,50,100,73,42
81,66,47,107,72,36
79,66,48,112,71,35
79,67,49,104,70,36
78,62,48,102,75,42
76,58,45,108,62,33
73,54,42,111,55,28
74,54,41,111,55,26
73,53,41,112,55,27
73,54,40,115,57,27
72,55,42,118,57,28
75,52,40,117,56,28
72,53,40,115,55,26
74,54,40,118,56,26
74,54,40,123,59,29
76,57,44,109,67,35
79,60,52,95,74,44
78,63,53,107,85,44
79,64,53,108,93,48
80,63,53,104,88,49
76,59,47,105,76,44
77,58,47,103,71,41
74,55,44,108,67,37
73,54,43,114,61,30
73,56,43,113,61,30
74,55,43,111,61,29
74,55,43,105,59,30
73,57,45,99,58,30
74,57,43,98,58,30
74,58,44,97,59,32
76,60,49,94,64,33
77,65,55,94,73,40
77,62,55,95,76,43
77,61,53,88,78,47
76,59,50,90,75,42
76,59,49,93,70,36
79,62,54,87,76,43
81,63,61,71,88,62
83,66,67,55,105,88
88,69,73,52,121,108
87,72,75,52,126,115
89,69,73,52,124,112
87,68,68,51,120,107
87,66,68,51,117,104
86,62,62,48,107,93
78,56,51,47,92,77
76,56,47,73,80,55
74,57,48,94,70,37
74,60,47,93,68,36
74,59,49,92,67,37
75,59,49,92,69,39
77,60,48,101,68,37
72,58,45,100,61,33
76,56,45,99,58,30
75,55,45,97,57,30
78,59,48,86,66,37
74,57,51,63,83,57
78,54,47,44,87,74
75,53,48,35,88,77
78,56,47,36,91,79
78,53,46,36,91,79
79,53,46,36,87,74
79,52,47,36,87,74
76,54,48,37,88,75
77,53,48,37,89,77
78,54,47,37,87,76
77,52,45,38,84,69
75,51,44,37,78,69
77,56,48,59,82,64
78,61,53,86,86,53
78,61,50,89,82,49
77,59,49,85,88,54
79,62,48,89,93,56
81,63,49,86,94,57
80,61,48,90,94,54
79,62,48,92,94,54
79,63,48,93,95,54
80,63,49,100,96,54
81,64,50,94,96,56
79,62,47,90,92,52
78,59,45,89,90,51
77,59,47,87,88,54
77,60,48,84,88,55
78,60,46,86,88,53
77,61,44,86,87,52
77,58,47,78,87,55
77,59,46,76,84,57
75,63,44,107,68,31
77,62,44,105,65,32
75,62,45,102,66,34
76,62,45,106,70,35
75,63,44,107,72,36
75,63,47,98,72,37
75,63,46,92,72,39
77,62,44,92,73,37
75,62,47,90,80,45
76,57,45,84,89,53
76,60,46,78,90,54
75,58,42,75,88,51
75,57,47,70,90,54
74,56,41,75,87,51
74,58,43,75,87,53
75,56,43,67,82,52
75,53,43,60,80,56
75,54,43,56,83,57
72,52,41,53,80,55
75,53,41,58,81,53
75,54,42,59,79,52
74,53,42,51,77,57
74,52,42,43,79,64
75,53,43,44,80,66
74,57,47,95,70,38
79,59,52,100,78,44
78,60,52,102,74,45
74,55,43,99,54,30
73,52,41,97,51,27
72,52,40,98,54,27
74,53,42,98,54,26
73,53,42,97,55,28
74,54,43,97,53,29
74,55,43,97,56,29
77,56,46,93,64,35
79,59,53,78,83,58
81,63,58,64,90,71
83,64,63,63,93,70
87,71,79,72,111,80
94,82,99,81,134,87
96,83,105,79,141,91
92,80,95,81,137,90
83,73,72,91,104,62
78,63,52,96,74,41
75,54,46,96,57,33
75,57,44,95,57,29
74,55,44,94,57,29
75,55,44,93,57,32
75,56,46,95,56,30
74,55,42,99,57,30
74,55,44,100,58,28
74,55,44,97,55,30
73,56,45,95,57,31
74,56,44,97,56,30
72,55,44,100,55,27
76,55,44,96,56,30
76,58,46,89,57,31
75,58,48,87,59,32
76,58,48,92,62,33
77,60,49,102,67,36
73,57,45,103,62,33
75,56,43,105,61,32
72,54,42,106,55,27
73,55,40,111,59,29
73,55,39,112,62,31
73,55,41,110,62,29
74,54,42,110,62,29
73,54,40,110,62,31
72,56,41,110,63,29
74,56,41,109,63,31
74,57,42,106,62,33
75,56,45,103,64,31
77,59,49,99,75,43
77,64,50,97,82,49
78,63,49,99,74,40
78,62,49,94,74,43
77,62,48,96,71,40
78,62,50,91,78,49
79,60,53,88,79,52
76,56,45,97,62,31
73,56,43,102,59,31
72,55,44,102,60,28
73,54,44,103,54,27
74,55,43,102,55,26
74,57,42,105,56,29
76,58,44,118,66,32
78,59,45,127,74,33
77,60,46,117,80,41
79,63,53,97,99,61
80,65,53,98,93,55
79,63,50,99,78,42
74,58,44,72,45,25
74,58,44,61,41,23
78,62,51,74,71,42
82,63,57,76,85,58
81,61,56,59,88,68
80,60,54,59,88,70
79,61,54,62,88,67
82,60,53,62,88,68
79,58,53,62,87,67
80,60,56,60,88,68
84,62,58,60,90,71
84,64,59,61,92,74
81,62,58,59,90,72
82,63,56,59,88,66
82,61,53,58,88,67
83,63,58,57,88,71
84,63,58,55,90,71
84,63,61,56,90,71
84,64,58,65,87,66
79,62,58,77,81,54
79,63,50,95,71,44
78,58,45,105,62,33
74,60,48,106,60,29
75,58,44,107,60,31
75,60,44,106,59,30
74,58,45,106,59,29
74,59,45,104,61,31
75,60,47,102,63,31
79,60,48,110,67,38
74,56,44,115,57,26
74,54,43,114,55,29
74,54,42,117,54,26
76,56,46,113,60,29
80,61,54,85,73,52
82,61,53,72,63,46
80,61,53,73,61,45
80,61,54,73,61,42
79,62,55,74,62,47
78,61,55,74,64,47
80,61,54,72,64,46
80,61,53,72,63,47
80,62,52,72,60,43
78,59,50,73,57,41
78,60,51,71,57,41
77,58,49,74,55,37
76,59,46,77,57,34
78,58,47,75,56,35
78,58,48,67,53,34
77,57,47,66,48,30
78,58,48,68,51,34
82,61,54,71,62,45
82,62,57,71,67,50
85,64,58,72,69,52
84,64,59,72,68,51
84,66,60,72,72,53
80,63,58,83,82,55
77,61,51,89,69,37
74,58,48,85,71,40
77,61,49,88,64,35
78,60,51,98,67,35
78,65,51,104,78,42
78,65,54,98,79,46
78,63,47,105,69,33
76,62,46,104,68,36
77,64,45,105,67,32
77,62,48,107,68,35
76,63,45,102,69,35
78,65,46,106,68,35
78,66,47,105,67,34
77,64,48,106,69,35
77,64,47,108,70,38
78,65,46,109,69,36
79,67,51,109,70,36
79,66,50,110,70,35
79,66,50,104,72,37
81,66,53,91,73,46
85,70,62,75,92,66
85,70,66,81,99,69
87,71,69,78,100,72
92,75,78,66,107,85
94,77,82,60,109,91
92,75,82,56,111,96
92,74,82,55,109,87
92,75,83,58,111,89
92,74,83,57,112,92
93,76,80,54,111,93
95,78,85,55,111,98
96,80,86,55,114,102
94,75,81,53,110,98
95,75,82,53,111,97
98,81,89,58,122,108
95,77,87,59,120,103
90,72,76,56,111,93
93,76,80,59,112,92
91,75,79,65,109,87
79,67,58,90,80,46
74,57,45,116,64,35
74,56,42,122,63,32
75,54,40,121,62,32
74,55,42,118,60,28
72,56,42,115,59,27
74,54,43,116,61,33
72,55,43,119,61,30
74,54,41,117,59,28
74,56,42,116,59,29
74,53,42,117,58,29
71,54,43,121,59,28
74,56,43,120,59,29
74,54,42,116,58,29
75,56,44,112,63,33
79,61,49,94,80,50
78,60,50,87,85,55
78,62,52,84,86,55
79,62,54,82,87,57
80,63,53,82,87,55
79,63,53,76,83,55
79,62,51,76,83,55
79,62,54,73,86,59
80,63,53,71,84,58
81,62,52,70,83,58
78,62,52,70,83,58
80,62,52,73,83,57
79,62,53,72,84,59
80,63,55,72,81,58
80,65,53,89,76,44
81,65,50,104,70,37
80,66,50,104,71,36
79,65,50,98,73,43
79,66,52,96,75,39
78,65,50,101,72,40
80,66,51,103,73,37
79,66,49,108,73,37
77,66,48,110,74,34
79,65,49,107,75,39
79,62,50,104,72,39
76,57,43,110,59,30
75,54,42,112,55,24
72,54,40,113,55,29
74,54,42,114,54,26
72,54,42,116,57,26
75,53,38,117,57,29
74,54,39,114,57,28
73,56,42,120,57,27
76,54,39,120,60,31
73,55,44,120,65,32
77,58,48,103,78,48
80,65,59,94,96,60
81,64,53,99,85,47
74,57,47,105,71,38
75,56,43,116,63,30
80,60,52,103,80,46
76,60,50,105,85,53
75,56,43,118,68,35
75,56,43,114,62,29
74,56,44,111,61,30
75,55,43,107,60,30
74,57,46,100,59,30
74,56,44,98,59,31
74,58,44,94,59,30
73,57,46,92,62,32
78,61,49,89,66,36
78,63,55,91,77,46
78,63,56,89,79,46
77,60,52,90,73,40
78,60,51,86,73,46
79,61,58,65,87,66
84,63,65,53,104,88
87,70,72,51,120,108
92,74,80,54,130,118
91,71,78,55,128,117
89,69,72,52,122,111
87,68,70,52,117,106
85,66,67,51,116,104
86,63,65,50,115,99
82,59,56,45,100,86
78,56,49,51,89,73
77,55,47,82,75,48
74,58,47,96,68,37
74,60,50,93,68,38
74,60,50,91,69,37
76,59,47,94,68,38
73,58,45,105,66,34
75,57,44,105,62,32
75,58,45,87,70,42
80,58,53,58,84,62
77,55,50,41,90,77
77,52,47,36,87,75
75,53,46,34,90,76
81,55,48,38,94,80
79,54,48,37,92,78
77,52,45,35,91,75
75,52,45,35,89,76
76,54,47,36,87,74
78,53,46,37,87,74
78,55,49,38,89,75
78,52,46,35,83,70
79,55,48,45,81,70
79,58,51,60,82,60
84,67,65,71,100,69
