Band1,Band2,Band3,Band4,Band5,Band6
75,57,44,96,52,27
76,57,45,93,54,26
74,57,43,96,54,28
73,56,45,103,54,29
74,57,44,103,54,27
74,57,44,108,63,34
79,63,48,121,68,36
80,66,47,127,62,31
79,65,47,130,60,29
80,66,48,129,64,30
80,65,47,123,61,30
80,64,47,125,61,30
80,64,47,124,64,30
79,63,48,107,69,39
77,60,51,92,80,47
76,60,47,88,89,56
74,60,44,98,93,50
76,59,45,96,92,53
78,60,44,96,92,53
75,60,43,97,90,53
76,59,44,93,89,53
76,58,45,94,82,52
74,56,43,108,66,34
73,53,38,111,55,27
74,54,40,105,52,27
72,53,39,96,49,26
72,54,40,95,48,26
73,53,40,96,49,27
73,52,40,93,51,29
74,52,40,99,50,22
73,51,38,108,50,25
73,52,40,105,49,25
72,50,40,110,50,27
74,54,43,110,60,30
76,60,46,114,80,42
78,58,42,123,75,35
76,57,43,113,73,39
77,58,47,104,76,40
77,59,44,99,80,43
76,59,45,95,83,44
76,60,45,94,83,47
77,58,46,93,82,45
78,59,46,90,84,48
84,66,59,69,85,63
82,67,60,67,87,66
84,66,60,70,88,66
85,66,62,69,89,66
86,69,66,68,90,69
85,65,62,66,91,67
83,66,60,70,87,65
86,68,65,71,89,67
87,68,60,97,80,55
81,66,50,134,63,32
82,68,47,137,59,30
81,66,49,136,61,28
81,66,49,136,61,28
82,68,48,137,60,29
78,63,48,121,61,31
73,57,44,107,60,30
74,55,42,107,61,30
75,55,42,101,58,28
74,55,44,100,55,26
78,58,47,101,62,33
79,63,51,99,72,40
78,64,53,104,85,51
80,65,50,113,84,47
75,57,45,116,70,33
75,55,42,120,58,28
74,53,40,121,55,26
74,55,41,121,55,25
71,55,40,121,57,27
73,53,40,121,55,25
76,55,45,114,59,31
76,60,50,104,72,40
76,58,46,106,67,36
74,54,42,116,63,29
75,55,44,117,65,32
76,57,44,117,67,33
74,55,42,117,68,34
75,56,44,115,71,36
80,62,54,107,91,58
78,63,55,101,81,53
76,57,47,101,60,32
73,54,43,102,52,27
75,54,42,103,52,27
75,55,42,103,53,26
72,54,42,99,55,27
76,55,47,96,55,30
75,59,46,97,61,34
79,63,50,99,69,40
79,67,50,107,76,43
77,67,50,104,74,41
79,65,50,100,73,38
79,64,52,89,78,47
78,65,58,79,82,54
78,62,49,100,73,37
75,60,47,112,78,36
83,65,56,101,85,50
84,69,62,95,87,50
80,62,52,98,71,39
75,56,45,113,62,30
73,55,41,119,63,29
73,56,39,120,63,29
73,53,39,117,61,29
73,54,41,114,58,27
74,54,40,115,59,29
73,54,39,117,59,30
76,56,42,112,61,28
74,56,44,113,59,29
73,55,42,114,58,28
74,54,39,115,60,29
73,55,41,117,61,31
74,55,42,119,62,29
75,54,42,119,61,30
75,57,43,118,62,29
73,56,42,117,64,31
75,54,43,120,61,28
75,56,41,124,59,26
74,54,41,124,61,29
74,55,41,121,58,27
75,54,40,118,59,28
73,55,43,113,56,28
73,56,43,111,59,28
75,56,41,115,60,30
73,55,40,119,57,28
73,53,40,122,57,26
74,54,40,122,57,29
75,55,40,121,58,27
72,53,41,120,60,29
74,55,40,118,57,26
73,53,40,117,56,29
72,53,40,119,55,26
73,54,42,120,56,25
74,53,38,122,57,28
74,54,39,123,57,27
73,54,39,121,57,27
74,52,40,121,58,28
74,57,40,121,60,29
75,57,42,125,66,32
74,56,41,128,65,30
76,57,40,125,70,34
82,63,55,99,72,44
100,81,80,73,90,71
110,95,107,76,130,104
98,85,91,80,120,91
84,67,62,83,86,58
76,60,49,102,78,47
78,61,49,108,75,39
80,65,53,110,79,43
79,66,54,111,83,45
71,52,39,44,27,18
73,50,39,42,29,19
78,61,53,66,57,34
80,65,56,97,84,48
76,60,47,118,77,40
74,57,44,128,69,31
75,59,45,128,71,35
75,58,44,130,69,34
77,58,44,130,71,33
74,58,44,129,69,34
76,57,43,129,68,33
74,58,43,130,70,32
74,57,43,131,70,33
75,57,43,128,69,34
76,59,42,127,68,33
76,57,42,121,63,30
76,58,42,124,66,31
76,59,44,132,70,33
75,58,42,132,71,33
76,59,44,134,71,33
74,57,43,132,69,34
76,58,42,130,66,31
